2026-04-22 13:55:00 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 13:55:00 | set | mcl-activate.sh | field=plugin_gate_active value=false
2026-04-22 13:55:00 | set | mcl-activate.sh | field=plugin_gate_missing value=[]
2026-04-22 13:55:00 | set | mcl-activate.sh | field=plugin_gate_session value=08e89c95-fbd4-4328-9cdb-d1999699cf85
2026-04-22 13:57:16 | askq-ignored-no-spec | stop | phase=1
2026-04-22 13:58:08 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 13:58:41 | askq-ignored-no-spec | stop | phase=1
2026-04-22 13:59:15 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 14:11:48 | askq-ignored-no-spec | stop | phase=1
2026-04-22 14:12:02 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 14:20:52 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 14:37:32 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 15:04:25 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 15:05:47 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 15:17:59 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 15:22:02 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 15:36:59 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 15:55:45 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 16:19:13 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 16:19:13 | migrate-v1-to-v2 | mcl-activate.sh | backup=/Users/umitduman/my-claude-lang/.mcl/state.json.backup.v1
2026-04-22 16:26:48 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 16:28:39 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 16:31:19 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 17:04:57 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 17:28:03 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 17:45:53 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 17:50:17 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 18:03:44 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 18:28:38 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 18:35:24 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 18:39:58 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 18:42:02 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 18:46:15 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 18:51:04 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 18:54:51 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 19:01:22 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 19:11:59 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 19:13:56 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-22 19:21:10 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 10:07:16 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 10:09:41 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 10:18:36 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 10:22:16 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 10:23:08 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 10:41:12 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 10:42:00 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 11:53:18 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 11:58:13 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 12:02:19 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 12:06:33 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 12:24:29 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 12:34:15 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 12:37:26 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 13:06:16 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 13:22:32 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 14:26:06 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 14:30:52 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 14:59:36 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 15:03:47 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 15:09:23 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 15:38:07 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 15:44:33 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 16:12:03 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 16:15:45 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 16:21:16 | semgrep-preflight | mcl-activate | unsupported-stack
